Date,Instrument type,Instrument Value,Target Variable,Impact
28-Apr-23,Statutory Liquidity Ratio,47022,GDP,Cursor
21-Apr-23,Reverse Repo Rate,21633,Inflation rate,
14-Apr-23,Open Market Operations,60056,Exchange rate,
07-Apr-23,Bank Rate,55569, Industrial production,
31-Mar-23,Cash reserve ratio,35532,Fiscal deficit,
01-Apr-23,Statutory Liquidity Ratio,36125,Money supply,
02-Apr-23,Open Market Operations,35589, Interest rates,
03-Apr-23,Reverse Repo Rate,33499,Unemployment rate,
04-Apr-23,Bank Rate,18604,GDP,
05-Apr-23,Statutory Liquidity Ratio,29346,Inflation rate,
06-Apr-23,Open Market Operations,17588,Exchange rate,
07-Apr-23,Cash reserve ratio,26189, Industrial production,
08-Apr-23,Bank Rate,18418,Fiscal deficit,
09-Apr-23,Open Market Operations,17315,Money supply,
10-Apr-23,Cash reserve ratio,18686, Interest rates,
11-Apr-23,Bank Rate,15883,Unemployment rate,
12-Apr-23,Open Market Operations,21034,GDP,
13-Apr-23,Cash reserve ratio,14754,Inflation rate,
14-Apr-23,Reverse Repo Rate,14862,Exchange rate,
15-Apr-23,Statutory Liquidity Ratio,17482, Industrial production,
16-Apr-23,Open Market Operations,24943,Fiscal deficit,
17-Apr-23,Bank Rate,20853,Money supply,
18-Apr-23,Cash reserve ratio,15078, Interest rates,
19-Apr-23,Statutory Liquidity Ratio,16512,Unemployment rate,
11-Nov-22,Open Market Operations,23652,GDP,
04-Nov-22,Statutory Liquidity Ratio,16417,Inflation rate,
28-Oct-22,Bank Rate,13489,Exchange rate,
21-Oct-22,Statutory Liquidity Ratio,21027, Industrial production,
14-Oct-22,Reverse Repo Rate,19298,Fiscal deficit,
07-Oct-22,Open Market Operations,16519,Money supply,
30-Sep-22,Reverse Repo Rate,19546, Interest rates,
23-Sep-22,Cash reserve ratio,19393,Unemployment rate,
16-Sep-22,Open Market Operations,13746,Exchange rate,
09-Sep-22,Bank Rate,16830,Inflation rate,
02-Sep-22,Open Market Operations,12067,GDP,
26-Aug-22,Cash reserve ratio,21484,GDP,
19-Aug-22,Reverse Repo Rate,31616,Inflation rate,
12-Aug-22,Bank Rate,29327,Exchange rate,
05-Aug-22,Statutory Liquidity Ratio,23015, Industrial production,
29-Jul-22,Open Market Operations,19315,Fiscal deficit,
22-Jul-22,Reverse Repo Rate,27583,Money supply,
15-Jul-22,Statutory Liquidity Ratio,28927, Interest rates,
08-Jul-22,Cash reserve ratio,25079,Unemployment rate,
01-Jul-22,Open Market Operations,13004,GDP,
24-Jun-22,Bank Rate,19699,Inflation rate,
17-Jun-22,Reverse Repo Rate,23245,Exchange rate,
10-Jun-22,Cash reserve ratio,22700, Industrial production,
03-Jun-22,Statutory Liquidity Ratio,12478,Fiscal deficit,
27-May-22,Open Market Operations,26258,Money supply,
